,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
108,"frozenset({'Yoshi', 'Fox'})","frozenset({'Marth', 'Jigglypuff'})",0.05263157894736842,0.15789473684210525,0.05263157894736842,1.0,6.333333333333334,0.0443213296398892,inf,0.8888888888888888
109,"frozenset({'Yoshi', 'Jigglypuff'})","frozenset({'Marth', 'Fox'})",0.05263157894736842,0.21052631578947367,0.05263157894736842,1.0,4.75,0.04155124653739612,inf,0.8333333333333333
110,frozenset({'Yoshi'}),"frozenset({'Marth', 'Fox', 'Jigglypuff'})",0.05263157894736842,0.10526315789473684,0.05263157894736842,1.0,9.5,0.047091412742382266,inf,0.9444444444444443
111,"frozenset({'Fox', 'Captain Falcon', 'Jigglypuff', 'Falco'})",frozenset({'Pikachu'}),0.05263157894736842,0.05263157894736842,0.05263157894736842,1.0,19.0,0.04986149584487534,inf,0.9999999999999999
112,"frozenset({'Pikachu', 'Captain Falcon', 'Jigglypuff', 'Falco'})",frozenset({'Fox'}),0.05263157894736842,0.47368421052631576,0.05263157894736842,1.0,2.111111111111111,0.027700831024930747,inf,0.5555555555555555
113,"frozenset({'Pikachu', 'Fox', 'Captain Falcon', 'Jigglypuff'})",frozenset({'Falco'}),0.05263157894736842,0.3157894736842105,0.05263157894736842,1.0,3.166666666666667,0.036011080332409975,inf,0.7222222222222222
114,"frozenset({'Pikachu', 'Fox', 'Jigglypuff', 'Falco'})",frozenset({'Captain Falcon'}),0.05263157894736842,0.21052631578947367,0.05263157894736842,1.0,4.75,0.04155124653739612,inf,0.8333333333333333
115,"frozenset({'Pikachu', 'Fox', 'Captain Falcon', 'Falco'})",frozenset({'Jigglypuff'}),0.05263157894736842,0.47368421052631576,0.05263157894736842,1.0,2.111111111111111,0.027700831024930747,inf,0.5555555555555555
116,"frozenset({'Fox', 'Captain Falcon', 'Jigglypuff'})","frozenset({'Pikachu', 'Falco'})",0.05263157894736842,0.05263157894736842,0.05263157894736842,1.0,19.0,0.04986149584487534,inf,0.9999999999999999
117,"frozenset({'Pikachu', 'Captain Falcon', 'Jigglypuff'})","frozenset({'Fox', 'Falco'})",0.05263157894736842,0.15789473684210525,0.05263157894736842,1.0,6.333333333333334,0.0443213296398892,inf,0.8888888888888888
118,"frozenset({'Pikachu', 'Jigglypuff', 'Falco'})","frozenset({'Fox', 'Captain Falcon'})",0.05263157894736842,0.10526315789473684,0.05263157894736842,1.0,9.5,0.047091412742382266,inf,0.9444444444444443
119,"frozenset({'Pikachu', 'Fox', 'Jigglypuff'})","frozenset({'Captain Falcon', 'Falco'})",0.05263157894736842,0.15789473684210525,0.05263157894736842,1.0,6.333333333333334,0.0443213296398892,inf,0.8888888888888888
120,"frozenset({'Pikachu', 'Captain Falcon', 'Falco'})","frozenset({'Fox', 'Jigglypuff'})",0.05263157894736842,0.3157894736842105,0.05263157894736842,1.0,3.166666666666667,0.036011080332409975,inf,0.7222222222222222
121,"frozenset({'Pikachu', 'Fox', 'Captain Falcon'})","frozenset({'Jigglypuff', 'Falco'})",0.05263157894736842,0.21052631578947367,0.05263157894736842,1.0,4.75,0.04155124653739612,inf,0.8333333333333333
122,"frozenset({'Pikachu', 'Fox', 'Falco'})","frozenset({'Captain Falcon', 'Jigglypuff'})",0.05263157894736842,0.10526315789473684,0.05263157894736842,1.0,9.5,0.047091412742382266,inf,0.9444444444444443
123,"frozenset({'Pikachu', 'Jigglypuff'})","frozenset({'Fox', 'Captain Falcon', 'Falco'})",0.05263157894736842,0.10526315789473684,0.05263157894736842,1.0,9.5,0.047091412742382266,inf,0.9444444444444443
124,"frozenset({'Pikachu', 'Captain Falcon'})","frozenset({'Fox', 'Jigglypuff', 'Falco'})",0.05263157894736842,0.10526315789473684,0.05263157894736842,1.0,9.5,0.047091412742382266,inf,0.9444444444444443
125,"frozenset({'Pikachu', 'Falco'})","frozenset({'Fox', 'Captain Falcon', 'Jigglypuff'})",0.05263157894736842,0.05263157894736842,0.05263157894736842,1.0,19.0,0.04986149584487534,inf,0.9999999999999999
126,"frozenset({'Pikachu', 'Fox'})","frozenset({'Captain Falcon', 'Jigglypuff', 'Falco'})",0.05263157894736842,0.10526315789473684,0.05263157894736842,1.0,9.5,0.047091412742382266,inf,0.9444444444444443
127,frozenset({'Pikachu'}),"frozenset({'Fox', 'Captain Falcon', 'Jigglypuff', 'Falco'})",0.05263157894736842,0.05263157894736842,0.05263157894736842,1.0,19.0,0.04986149584487534,inf,0.9999999999999999
128,"frozenset({'Marth', 'Yoshi', 'Jigglypuff', 'Falco'})",frozenset({'Fox'}),0.05263157894736842,0.47368421052631576,0.05263157894736842,1.0,2.111111111111111,0.027700831024930747,inf,0.5555555555555555
129,"frozenset({'Marth', 'Fox', 'Jigglypuff', 'Falco'})",frozenset({'Yoshi'}),0.05263157894736842,0.05263157894736842,0.05263157894736842,1.0,19.0,0.04986149584487534,inf,0.9999999999999999
130,"frozenset({'Marth', 'Yoshi', 'Fox', 'Jigglypuff'})",frozenset({'Falco'}),0.05263157894736842,0.3157894736842105,0.05263157894736842,1.0,3.166666666666667,0.036011080332409975,inf,0.7222222222222222
131,"frozenset({'Yoshi', 'Fox', 'Jigglypuff', 'Falco'})",frozenset({'Marth'}),0.05263157894736842,0.47368421052631576,0.05263157894736842,1.0,2.111111111111111,0.027700831024930747,inf,0.5555555555555555
132,"frozenset({'Marth', 'Yoshi', 'Fox', 'Falco'})",frozenset({'Jigglypuff'}),0.05263157894736842,0.47368421052631576,0.05263157894736842,1.0,2.111111111111111,0.027700831024930747,inf,0.5555555555555555
133,"frozenset({'Marth', 'Yoshi', 'Jigglypuff'})","frozenset({'Fox', 'Falco'})",0.05263157894736842,0.15789473684210525,0.05263157894736842,1.0,6.333333333333334,0.0443213296398892,inf,0.8888888888888888
